0	1068007.2000000956
10	1046510.6470326709
20	1007963.4858806528
30	945323.7273633234
50	746430.4458227268
90	408587.3479995733
120	298725.6411053669
160	228915.38050349228
200	194148.21858230664
240	188164.66348635725
271	176265.9507751363
309	176198.55092519376
348	175094.12114076896
382	173089.24388169954
383	171985.89235240326
423	172270.75779919984
424	170851.05448414767
463	172466.13532389887
500	170841.7637764557
501	169987.10951380632
502	170097.14405914344
503	168967.26017983645
504	169511.65982799802
505	170589.7289323443
506	171106.6700343443
507	170549.17727502104
531	166737.02827562593
532	168346.04611840527
564	166683.79368266693
565	166757.8055692485
566	167705.89269385507
567	167168.711120063
568	166758.2317782312
569	169086.4908496727
570	167530.23087568194
571	167010.39929566902
572	164499.9516769278
573	166523.74571727624
574	165931.29775942495
575	166449.14790676266
576	165954.08643978834
577	165079.84414215767
578	164047.27766081388
579	162605.00246383066
580	162253.80012976524
581	161102.74890050758
582	162118.01427197427
583	161775.34600665548
584	162353.53446775666
585	162952.82471769184
586	163436.77780431317
587	164854.383195729
588	165957.55529032703
589	164253.6978275609
690	161114.15616385048
691	160324.15199686025
